Hotel;Puntuación;Reseñas;Booking.com;Expedia;Agoda;Atrapalo;Cocha
NH Collection Plaza Santiago;8.6;2837;278357.0;201310.0;;210304.0;
The Singular Santiago;9.0;744;202660.0;200847.0;148014.0;;
Hotel Boutique Le Reve;9.5;357;210540.0;;137743.0;179007.0;
The Ritz-Carlton, Santiago;9.2;1531;382641.0;317304.0;317304.0;;
Atton Vitacura;8.8;3517;139216.0;;;115517.0;
De Blasis B&B;9.2;317;62339.0;;;;
Ibis Santiago Estación Central;8.1;7375;87927.0;75179.0;;75226.0;
Best Western Premier Marina Las Condes;8.8;1748;454285.0;418571.0;418571.0;;
The Aubrey Boutique Hotel;9.3;270;290400.0;;283307.0;283484.0;
Boulevard Suites Hotel;8.7;493;186424.0;;98924.0;146784.0;
Hotel Cumbres Lastarria;9.2;1309;180562.0;111490.0;107739.0;;
Courtyard by Marriott Santiago Las Condes;9.0;1053;231446.0;191926.0;191926.0;;
Lastarria Boutique Hotel;9.0;229;155208.0;;;128786.0;
Hotel Altiplanico Bellas Artes;9.1;1122;126772.0;94613.0;76635.0;;
Plaza El Bosque Nueva Las Condes;8.9;5105;215454.0;;162028.0;154022.0;
Renaissance Santiago Hotel;9.0;562;324489.0;;;;
Hotel Santiago;9.0;1665;400087.0;249793.0;320207.0;;
W Santiago;9.0;1918;376826.0;312482.0;312482.0;;
Santiago Marriott Hotel;9.1;2730;254706.0;211215.0;;211346.0;
Time Select;9.0;161;229759.0;190527.0;;247150.0;
